,,,,Population by County by Ethnicity by Sex
Year=2016, 2017, 2018, 2019, 2020

,Population,Population,Population,Population,Population,Population,Population,Population,Population,
Ethnicity,Hispanic,Hispanic,Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Total,,,
Sex,Female,Male,Total,Female,Male,Total,Female,Male,Total,
Alachua,67027,62632,129659,614023,573952,1187975,681050,636584,1317634,
Baker,1573,2028,3601,64012,70585,134597,65585,72613,138198,
Bay,27799,29932,57731,421571,414182,835753,449370,444114,893484,
Bradford,1875,3969,5844,61799,73019,134818,63674,76988,140662,
Brevard,154113,147381,301494,1344250,1283298,2627548,1498363,1430679,2929042,
Broward,1449407,1370343,2819750,3435723,3266379,6702102,4885130,4636722,9521852,
Calhoun,1456,2795,4251,32503,37689,70192,33959,40484,74443,
Charlotte,32218,31723,63941,422864,401471,824335,455082,433194,888276,
Citrus,20626,20952,41578,356534,332948,689482,377160,353900,731060,
Clay,52941,52983,105924,488791,473038,961829,541732,526021,1067753,
Collier,246766,263317,510083,688610,643230,1331840,935376,906547,1841923,
Columbia,10090,11588,21678,158313,168820,327133,168403,180408,348811,
Miami-Dade,4946193,4605931,9552124,2240332,2173697,4414029,7186525,6779628,13966153,
Desoto,19883,36183,56066,57745,64904,122649,77628,101087,178715,
Dixie,1307,2154,3461,36322,44088,80410,37629,46242,83871,
Duval,231643,232502,464145,2235135,2086543,4321678,2466778,2319045,4785823,
Escambia,40951,49695,90646,760035,737344,1497379,800986,787039,1588025,
Flagler,29245,27504,56749,252321,233760,486081,281566,261264,542830,
Franklin,840,2420,3260,25319,31970,57289,26159,34390,60549,
Gadsden,11824,12984,24808,114052,100801,214853,125876,113785,239661,
Gilchrist,2145,2939,5084,40284,41758,82042,42429,44697,87126,
Glades,6085,7946,14031,22940,28914,51854,29025,36860,65885,
Gulf,786,2781,3567,33643,43923,77566,34429,46704,81133,
Hamilton,2668,4289,6957,28355,38214,66569,31023,42503,73526,
Hardee,27153,32812,59965,37610,40061,77671,64763,72873,137636,
Hendry,46550,58812,105362,46915,45199,92114,93465,104011,197476,
Hernando,62550,61553,124103,420483,385963,806446,483033,447516,930549,
Highlands,48424,54121,102545,215705,197159,412864,264129,251280,515409,
Hillsborough,1018266,1001220,2019486,2612732,2461434,5074166,3630998,3462654,7093652,
Holmes,1134,1709,2843,46104,52028,98132,47238,53737,100975,
Indian River,46732,47767,94499,350254,317965,668219,396986,365732,762718,
Jackson,3615,8328,11943,108566,128290,236856,112181,136618,248799,
Jefferson,1206,1731,2937,33795,36697,70492,35001,38428,73429,
Lafayette,2207,3421,5628,15856,21488,37344,18063,24909,42972,
Lake,133054,133913,266967,757202,701037,1458239,890256,834950,1725206,
Lee,376993,387519,764512,1459460,1373925,2833385,1836453,1761444,3597897,
Leon,48730,45285,94015,722535,651283,1373818,771265,696568,1467833,
Levy,8362,8985,17347,96836,91786,188622,105198,100771,205969,
Liberty,843,2189,3032,16168,25115,41283,17011,27304,44315,
Madison,1758,3371,5129,43812,47813,91625,45570,51184,96754,
Manatee,152219,158372,310591,826687,756865,1583552,978906,915237,1894143,
Marion,116489,117607,234096,810192,737360,1547552,926681,854967,1781648,
Martin,48823,57197,106020,344878,327244,672122,393701,384441,778142,
Monroe,44240,47310,91550,136966,151312,288278,181206,198622,379828,
Nassau,8812,8975,17787,201286,194342,395628,210098,203317,413415,
Okaloosa,44439,46629,91068,444492,456337,900829,488931,502966,991897,
Okeechobee,22443,30497,52940,73573,80965,154538,96016,111462,207478,
Orange,1083506,1049190,2132696,2373428,2285658,4659086,3456934,3334848,6791782,
Osceola,486297,472792,959089,418113,405846,823959,904410,878638,1783048,
Palm Beach,795907,800289,1596196,2905645,2675091,5580736,3701552,3475380,7176932,
Pasco,198171,194219,392390,1132383,1065881,2198264,1330554,1260100,2590654,
Pinellas,237929,230722,468651,2287516,2098368,4385884,2525445,2329090,4854535,
Polk,374145,386993,761138,1355474,1275591,2631065,1729619,1662584,3392203,
Putnam,17567,19000,36567,167455,161839,329294,185022,180839,365861,
Saint Johns,41738,42000,83738,577559,547388,1124947,619297,589388,1208685,
Saint Lucie,143450,145622,289072,636466,599004,1235470,779916,744626,1524542,
Santa Rosa,23260,25657,48917,406717,423303,830020,429977,448960,878937,
Sarasota,95920,94506,190426,995574,900543,1896117,1091494,995049,2086543,
Seminole,255227,237725,492952,946707,884894,1831601,1201934,1122619,2324553,
Sumter,14028,22011,36039,302620,294433,597053,316648,316444,633092,
Suwannee,9269,11729,20998,99152,105350,204502,108421,117079,225500,
Taylor,1232,3540,4772,49131,58281,107412,50363,61821,112184,
Union,1261,3189,4450,26385,48378,74763,27646,51567,79213,
Volusia,185387,182627,368014,1180016,1115229,2295245,1365403,1297856,2663259,
Wakulla,2405,3690,6095,71610,84297,155907,74015,87987,162002,
Walton,9579,11649,21228,158540,160324,318864,168119,171973,340092,
Washington,1888,2740,4628,55632,65397,121029,57520,68137,125657,
Total,13602669,13246184,26848853,39903706,37901290,77804996,53506375,51147474,104653849,

